Date,Type,Value
1950,Aquaculture - marine waters,0
1951,Aquaculture - marine waters,0
1952,Aquaculture - marine waters,0
1953,Aquaculture - marine waters,1
1954,Aquaculture - marine waters,1
1955,Aquaculture - marine waters,1
1956,Aquaculture - marine waters,1
1957,Aquaculture - marine waters,1
1958,Aquaculture - marine waters,1
1959,Aquaculture - marine waters,1
1960,Aquaculture - marine waters,1
1961,Aquaculture - marine waters,1
1962,Aquaculture - marine waters,1
1963,Aquaculture - marine waters,1
1964,Aquaculture - marine waters,1
1965,Aquaculture - marine waters,1
1966,Aquaculture - marine waters,1
1967,Aquaculture - marine waters,1
1968,Aquaculture - marine waters,1
1969,Aquaculture - marine waters,1
1970,Aquaculture - marine waters,1
1971,Aquaculture - marine waters,1
1972,Aquaculture - marine waters,2
1973,Aquaculture - marine waters,2
1974,Aquaculture - marine waters,2
1975,Aquaculture - marine waters,2
1976,Aquaculture - marine waters,2
1977,Aquaculture - marine waters,2
1978,Aquaculture - marine waters,2
1979,Aquaculture - marine waters,2
1980,Aquaculture - marine waters,2
1981,Aquaculture - marine waters,3
1982,Aquaculture - marine waters,3
1983,Aquaculture - marine waters,3
1984,Aquaculture - marine waters,3
1985,Aquaculture - marine waters,3
1986,Aquaculture - marine waters,4
1987,Aquaculture - marine waters,4
1988,Aquaculture - marine waters,5
1989,Aquaculture - marine waters,5
1990,Aquaculture - marine waters,5
1991,Aquaculture - marine waters,6
1992,Aquaculture - marine waters,7
1993,Aquaculture - marine waters,8
1994,Aquaculture - marine waters,9
1995,Aquaculture - marine waters,11
1996,Aquaculture - marine waters,11
1997,Aquaculture - marine waters,11
1998,Aquaculture - marine waters,12
1999,Aquaculture - marine waters,13
2000,Aquaculture - marine waters,14
2001,Aquaculture - marine waters,15
2002,Aquaculture - marine waters,16
2003,Aquaculture - marine waters,17
2004,Aquaculture - marine waters,18
2005,Aquaculture - marine waters,18
2006,Aquaculture - marine waters,19
2007,Aquaculture - marine waters,20
2008,Aquaculture - marine waters,21
2009,Aquaculture - marine waters,21
2010,Aquaculture - marine waters,22
2011,Aquaculture - marine waters,23
2012,Aquaculture - marine waters,24
2013,Aquaculture - marine waters,25
2014,Aquaculture - marine waters,26
2015,Aquaculture - marine waters,27
2016,Aquaculture - marine waters,29
2017,Aquaculture - marine waters,30
2018,Aquaculture - marine waters,31
1950,Aquaculture - inland waters,0
1951,Aquaculture - inland waters,0
1952,Aquaculture - inland waters,0
1953,Aquaculture - inland waters,0
1954,Aquaculture - inland waters,1
1955,Aquaculture - inland waters,1
1956,Aquaculture - inland waters,1
1957,Aquaculture - inland waters,1
1958,Aquaculture - inland waters,1
1959,Aquaculture - inland waters,1
1960,Aquaculture - inland waters,1
1961,Aquaculture - inland waters,1
1962,Aquaculture - inland waters,1
1963,Aquaculture - inland waters,1
1964,Aquaculture - inland waters,1
1965,Aquaculture - inland waters,1
1966,Aquaculture - inland waters,1
1967,Aquaculture - inland waters,1
1968,Aquaculture - inland waters,1
1969,Aquaculture - inland waters,1
1970,Aquaculture - inland waters,1
1971,Aquaculture - inland waters,1
1972,Aquaculture - inland waters,1
1973,Aquaculture - inland waters,2
1974,Aquaculture - inland waters,2
1975,Aquaculture - inland waters,2
1976,Aquaculture - inland waters,2
1977,Aquaculture - inland waters,2
1978,Aquaculture - inland waters,2
1979,Aquaculture - inland waters,2
1980,Aquaculture - inland waters,2
1981,Aquaculture - inland waters,3
1982,Aquaculture - inland waters,3
1983,Aquaculture - inland waters,3
1984,Aquaculture - inland waters,4
1985,Aquaculture - inland waters,5
1986,Aquaculture - inland waters,5
1987,Aquaculture - inland waters,6
1988,Aquaculture - inland waters,7
1989,Aquaculture - inland waters,7
1990,Aquaculture - inland waters,8
1991,Aquaculture - inland waters,8
1992,Aquaculture - inland waters,9
1993,Aquaculture - inland waters,10
1994,Aquaculture - inland waters,12
1995,Aquaculture - inland waters,14
1996,Aquaculture - inland waters,15
1997,Aquaculture - inland waters,16
1998,Aquaculture - inland waters,17
1999,Aquaculture - inland waters,18
2000,Aquaculture - inland waters,19
2001,Aquaculture - inland waters,20
2002,Aquaculture - inland waters,21
2003,Aquaculture - inland waters,22
2004,Aquaculture - inland waters,24
2005,Aquaculture - inland waters,26
2006,Aquaculture - inland waters,28
2007,Aquaculture - inland waters,30
2008,Aquaculture - inland waters,32
2009,Aquaculture - inland waters,34
2010,Aquaculture - inland waters,36
2011,Aquaculture - inland waters,37
2012,Aquaculture - inland waters,40
2013,Aquaculture - inland waters,42
2014,Aquaculture - inland waters,44
2015,Aquaculture - inland waters,46
2016,Aquaculture - inland waters,48
2017,Aquaculture - inland waters,59
2018,Aquaculture - inland waters,51
1950,Capture fisheries - marine waters,17
1951,Capture fisheries - marine waters,19
1952,Capture fisheries - marine waters,21
1953,Capture fisheries - marine waters,21
1954,Capture fisheries - marine waters,23
1955,Capture fisheries - marine waters,24
1956,Capture fisheries - marine waters,25
1957,Capture fisheries - marine waters,26
1958,Capture fisheries - marine waters,26
1959,Capture fisheries - marine waters,29
1960,Capture fisheries - marine waters,31
1961,Capture fisheries - marine waters,34
1962,Capture fisheries - marine waters,37
1963,Capture fisheries - marine waters,39
1964,Capture fisheries - marine waters,43
1965,Capture fisheries - marine waters,44
1966,Capture fisheries - marine waters,48
1967,Capture fisheries - marine waters,51
1968,Capture fisheries - marine waters,54
1969,Capture fisheries - marine waters,52
1970,Capture fisheries - marine waters,58
1971,Capture fisheries - marine waters,58
1972,Capture fisheries - marine waters,54
1973,Capture fisheries - marine waters,54
1974,Capture fisheries - marine waters,57
1975,Capture fisheries - marine waters,57
1976,Capture fisheries - marine waters,60
1977,Capture fisheries - marine waters,59
1978,Capture fisheries - marine waters,61
1979,Capture fisheries - marine waters,62
1980,Capture fisheries - marine waters,62
1981,Capture fisheries - marine waters,64
1982,Capture fisheries - marine waters,66
1983,Capture fisheries - marine waters,65
1984,Capture fisheries - marine waters,71
1985,Capture fisheries - marine waters,73
1986,Capture fisheries - marine waters,78
1987,Capture fisheries - marine waters,78
1988,Capture fisheries - marine waters,82
1989,Capture fisheries - marine waters,82
1990,Capture fisheries - marine waters,78
1991,Capture fisheries - marine waters,77
1992,Capture fisheries - marine waters,79
1993,Capture fisheries - marine waters,80
1994,Capture fisheries - marine waters,85
1995,Capture fisheries - marine waters,85
1996,Capture fisheries - marine waters,86
1997,Capture fisheries - marine waters,86
1998,Capture fisheries - marine waters,78
1999,Capture fisheries - marine waters,83
2000,Capture fisheries - marine waters,85
2001,Capture fisheries - marine waters,82
2002,Capture fisheries - marine waters,83
2003,Capture fisheries - marine waters,80
2004,Capture fisheries - marine waters,84
2005,Capture fisheries - marine waters,83
2006,Capture fisheries - marine waters,80
2007,Capture fisheries - marine waters,80
2008,Capture fisheries - marine waters,79
2009,Capture fisheries - marine waters,79
2010,Capture fisheries - marine waters,76
2011,Capture fisheries - marine waters,81
2012,Capture fisheries - marine waters,78
2013,Capture fisheries - marine waters,79
2014,Capture fisheries - marine waters,79
2015,Capture fisheries - marine waters,81
2016,Capture fisheries - marine waters,78
2017,Capture fisheries - marine waters,81
2018,Capture fisheries - marine waters,84
1950,Capture fisheries - inland waters,2
1951,Capture fisheries - inland waters,2
1952,Capture fisheries - inland waters,2
1953,Capture fisheries - inland waters,3
1954,Capture fisheries - inland waters,3
1955,Capture fisheries - inland waters,3
1956,Capture fisheries - inland waters,3
1957,Capture fisheries - inland waters,3
1958,Capture fisheries - inland waters,3
1959,Capture fisheries - inland waters,3
1960,Capture fisheries - inland waters,3
1961,Capture fisheries - inland waters,3
