Date,Type,Value
1905-05-03,Aquaculture - marine waters,0
1905-05-04,Aquaculture - marine waters,0
1905-05-05,Aquaculture - marine waters,0
1905-05-06,Aquaculture - marine waters,1
1905-05-07,Aquaculture - marine waters,1
1905-05-08,Aquaculture - marine waters,1
1905-05-09,Aquaculture - marine waters,1
1905-05-10,Aquaculture - marine waters,1
1905-05-11,Aquaculture - marine waters,1
1905-05-12,Aquaculture - marine waters,1
1905-05-13,Aquaculture - marine waters,1
1905-05-14,Aquaculture - marine waters,1
1905-05-15,Aquaculture - marine waters,1
1905-05-16,Aquaculture - marine waters,1
1905-05-17,Aquaculture - marine waters,1
1905-05-18,Aquaculture - marine waters,1
1905-05-19,Aquaculture - marine waters,1
1905-05-20,Aquaculture - marine waters,1
1905-05-21,Aquaculture - marine waters,1
1905-05-22,Aquaculture - marine waters,1
1905-05-23,Aquaculture - marine waters,1
1905-05-24,Aquaculture - marine waters,1
1905-05-25,Aquaculture - marine waters,2
1905-05-26,Aquaculture - marine waters,2
1905-05-27,Aquaculture - marine waters,2
1905-05-28,Aquaculture - marine waters,2
1905-05-29,Aquaculture - marine waters,2
1905-05-30,Aquaculture - marine waters,2
1905-05-31,Aquaculture - marine waters,2
1905-06-01,Aquaculture - marine waters,2
1905-06-02,Aquaculture - marine waters,2
1905-06-03,Aquaculture - marine waters,3
1905-06-04,Aquaculture - marine waters,3
1905-06-05,Aquaculture - marine waters,3
1905-06-06,Aquaculture - marine waters,3
1905-06-07,Aquaculture - marine waters,3
1905-06-08,Aquaculture - marine waters,4
1905-06-09,Aquaculture - marine waters,4
1905-06-10,Aquaculture - marine waters,5
1905-06-11,Aquaculture - marine waters,5
1905-06-12,Aquaculture - marine waters,5
1905-06-13,Aquaculture - marine waters,6
1905-06-14,Aquaculture - marine waters,7
1905-06-15,Aquaculture - marine waters,8
1905-06-16,Aquaculture - marine waters,9
1905-06-17,Aquaculture - marine waters,11
1905-06-18,Aquaculture - marine waters,11
1905-06-19,Aquaculture - marine waters,11
1905-06-20,Aquaculture - marine waters,12
1905-06-21,Aquaculture - marine waters,13
1905-06-22,Aquaculture - marine waters,14
1905-06-23,Aquaculture - marine waters,15
1905-06-24,Aquaculture - marine waters,16
1905-06-25,Aquaculture - marine waters,17
1905-06-26,Aquaculture - marine waters,18
1905-06-27,Aquaculture - marine waters,18
1905-06-28,Aquaculture - marine waters,19
1905-06-29,Aquaculture - marine waters,20
1905-06-30,Aquaculture - marine waters,21
1905-07-01,Aquaculture - marine waters,21
1905-07-02,Aquaculture - marine waters,22
1905-07-03,Aquaculture - marine waters,23
1905-07-04,Aquaculture - marine waters,24
1905-07-05,Aquaculture - marine waters,25
1905-07-06,Aquaculture - marine waters,26
1905-07-07,Aquaculture - marine waters,27
1905-07-08,Aquaculture - marine waters,29
1905-07-09,Aquaculture - marine waters,30
1905-07-10,Aquaculture - marine waters,31
1905-05-03,Aquaculture - inland waters,0
1905-05-04,Aquaculture - inland waters,0
1905-05-05,Aquaculture - inland waters,0
1905-05-06,Aquaculture - inland waters,0
1905-05-07,Aquaculture - inland waters,1
1905-05-08,Aquaculture - inland waters,1
1905-05-09,Aquaculture - inland waters,1
1905-05-10,Aquaculture - inland waters,1
1905-05-11,Aquaculture - inland waters,1
1905-05-12,Aquaculture - inland waters,1
1905-05-13,Aquaculture - inland waters,1
1905-05-14,Aquaculture - inland waters,1
1905-05-15,Aquaculture - inland waters,1
1905-05-16,Aquaculture - inland waters,1
1905-05-17,Aquaculture - inland waters,1
1905-05-18,Aquaculture - inland waters,1
1905-05-19,Aquaculture - inland waters,1
1905-05-20,Aquaculture - inland waters,1
1905-05-21,Aquaculture - inland waters,1
1905-05-22,Aquaculture - inland waters,1
1905-05-23,Aquaculture - inland waters,1
1905-05-24,Aquaculture - inland waters,1
1905-05-25,Aquaculture - inland waters,1
1905-05-26,Aquaculture - inland waters,2
1905-05-27,Aquaculture - inland waters,2
1905-05-28,Aquaculture - inland waters,2
1905-05-29,Aquaculture - inland waters,2
1905-05-30,Aquaculture - inland waters,2
1905-05-31,Aquaculture - inland waters,2
1905-06-01,Aquaculture - inland waters,2
1905-06-02,Aquaculture - inland waters,2
1905-06-03,Aquaculture - inland waters,3
1905-06-04,Aquaculture - inland waters,3
1905-06-05,Aquaculture - inland waters,3
1905-06-06,Aquaculture - inland waters,4
1905-06-07,Aquaculture - inland waters,5
1905-06-08,Aquaculture - inland waters,5
1905-06-09,Aquaculture - inland waters,6
1905-06-10,Aquaculture - inland waters,7
1905-06-11,Aquaculture - inland waters,7
1905-06-12,Aquaculture - inland waters,8
1905-06-13,Aquaculture - inland waters,8
1905-06-14,Aquaculture - inland waters,9
1905-06-15,Aquaculture - inland waters,10
1905-06-16,Aquaculture - inland waters,12
1905-06-17,Aquaculture - inland waters,14
1905-06-18,Aquaculture - inland waters,15
1905-06-19,Aquaculture - inland waters,16
1905-06-20,Aquaculture - inland waters,17
1905-06-21,Aquaculture - inland waters,18
1905-06-22,Aquaculture - inland waters,19
1905-06-23,Aquaculture - inland waters,20
1905-06-24,Aquaculture - inland waters,21
1905-06-25,Aquaculture - inland waters,22
1905-06-26,Aquaculture - inland waters,24
1905-06-27,Aquaculture - inland waters,26
1905-06-28,Aquaculture - inland waters,28
1905-06-29,Aquaculture - inland waters,30
1905-06-30,Aquaculture - inland waters,32
1905-07-01,Aquaculture - inland waters,34
1905-07-02,Aquaculture - inland waters,36
1905-07-03,Aquaculture - inland waters,37
