areaCode,areaName,areaType,date,cumDeaths28DaysByDeathDateRate
E92000001,England,nation,21/07/2021,201.4
E92000001,England,nation,20/07/2021,201.4
E92000001,England,nation,19/07/2021,201.3
E92000001,England,nation,18/07/2021,201.2
E92000001,England,nation,17/07/2021,201.2
E92000001,England,nation,16/07/2021,201.1
E92000001,England,nation,15/07/2021,201
E92000001,England,nation,14/07/2021,201
E92000001,England,nation,13/07/2021,200.9
E92000001,England,nation,12/07/2021,200.9
E92000001,England,nation,11/07/2021,200.8
E92000001,England,nation,10/07/2021,200.8
E92000001,England,nation,09/07/2021,200.7
E92000001,England,nation,08/07/2021,200.7
E92000001,England,nation,07/07/2021,200.6
E92000001,England,nation,06/07/2021,200.6
E92000001,England,nation,05/07/2021,200.5
E92000001,England,nation,04/07/2021,200.5
E92000001,England,nation,03/07/2021,200.5
E92000001,England,nation,02/07/2021,200.4
E92000001,England,nation,01/07/2021,200.4
E92000001,England,nation,30/06/2021,200.3
E92000001,England,nation,29/06/2021,200.3
E92000001,England,nation,28/06/2021,200.3
E92000001,England,nation,27/06/2021,200.3
E92000001,England,nation,26/06/2021,200.2
E92000001,England,nation,25/06/2021,200.2
E92000001,England,nation,24/06/2021,200.2
E92000001,England,nation,23/06/2021,200.1
E92000001,England,nation,22/06/2021,200.1
E92000001,England,nation,21/06/2021,200.1
E92000001,England,nation,20/06/2021,200.1
E92000001,England,nation,19/06/2021,200.1
E92000001,England,nation,18/06/2021,200
E92000001,England,nation,17/06/2021,200
E92000001,England,nation,16/06/2021,200
E92000001,England,nation,15/06/2021,200
E92000001,England,nation,14/06/2021,200
E92000001,England,nation,13/06/2021,199.9
E92000001,England,nation,12/06/2021,199.9
E92000001,England,nation,11/06/2021,199.9
E92000001,England,nation,10/06/2021,199.9
E92000001,England,nation,09/06/2021,199.9
E92000001,England,nation,08/06/2021,199.9
E92000001,England,nation,07/06/2021,199.9
E92000001,England,nation,06/06/2021,199.9
E92000001,England,nation,05/06/2021,199.8
E92000001,England,nation,04/06/2021,199.8
E92000001,England,nation,03/06/2021,199.8
E92000001,England,nation,02/06/2021,199.8
E92000001,England,nation,01/06/2021,199.8
E92000001,England,nation,31/05/2021,199.8
E92000001,England,nation,30/05/2021,199.8
E92000001,England,nation,29/05/2021,199.8
E92000001,England,nation,28/05/2021,199.8
E92000001,England,nation,27/05/2021,199.7
E92000001,England,nation,26/05/2021,199.7
E92000001,England,nation,25/05/2021,199.7
E92000001,England,nation,24/05/2021,199.7
E92000001,England,nation,23/05/2021,199.7
E92000001,England,nation,22/05/2021,199.7
E92000001,England,nation,21/05/2021,199.7
E92000001,England,nation,20/05/2021,199.7
E92000001,England,nation,19/05/2021,199.7
E92000001,England,nation,18/05/2021,199.7
E92000001,England,nation,17/05/2021,199.6
E92000001,England,nation,16/05/2021,199.6
E92000001,England,nation,15/05/2021,199.6
E92000001,England,nation,14/05/2021,199.6
E92000001,England,nation,13/05/2021,199.6
E92000001,England,nation,12/05/2021,199.6
E92000001,England,nation,11/05/2021,199.6
E92000001,England,nation,10/05/2021,199.6
E92000001,England,nation,09/05/2021,199.5
E92000001,England,nation,08/05/2021,199.5
E92000001,England,nation,07/05/2021,199.5
E92000001,England,nation,06/05/2021,199.5
E92000001,England,nation,05/05/2021,199.5
E92000001,England,nation,04/05/2021,199.5
E92000001,England,nation,03/05/2021,199.5
E92000001,England,nation,02/05/2021,199.4
E92000001,England,nation,01/05/2021,199.4
E92000001,England,nation,30/04/2021,199.4
E92000001,England,nation,29/04/2021,199.4
E92000001,England,nation,28/04/2021,199.4
E92000001,England,nation,27/04/2021,199.4
E92000001,England,nation,26/04/2021,199.3
E92000001,England,nation,25/04/2021,199.3
E92000001,England,nation,24/04/2021,199.3
E92000001,England,nation,23/04/2021,199.3
E92000001,England,nation,22/04/2021,199.3
E92000001,England,nation,21/04/2021,199.2
E92000001,England,nation,20/04/2021,199.2
E92000001,England,nation,19/04/2021,199.2
E92000001,England,nation,18/04/2021,199.1
E92000001,England,nation,17/04/2021,199.1
E92000001,England,nation,16/04/2021,199.1
E92000001,England,nation,15/04/2021,199.1
E92000001,England,nation,14/04/2021,199
E92000001,England,nation,13/04/2021,199
E92000001,England,nation,12/04/2021,199
E92000001,England,nation,11/04/2021,198.9
E92000001,England,nation,10/04/2021,198.9
E92000001,England,nation,09/04/2021,198.9
E92000001,England,nation,08/04/2021,198.8
E92000001,England,nation,07/04/2021,198.8
E92000001,England,nation,06/04/2021,198.7
E92000001,England,nation,05/04/2021,198.7
E92000001,England,nation,04/04/2021,198.7
E92000001,England,nation,03/04/2021,198.6
E92000001,England,nation,02/04/2021,198.6
E92000001,England,nation,01/04/2021,198.6
E92000001,England,nation,31/03/2021,198.5
E92000001,England,nation,30/03/2021,198.4
E92000001,England,nation,29/03/2021,198.4
E92000001,England,nation,28/03/2021,198.3
E92000001,England,nation,27/03/2021,198.3
E92000001,England,nation,26/03/2021,198.2
E92000001,England,nation,25/03/2021,198.2
E92000001,England,nation,24/03/2021,198.1
E92000001,England,nation,23/03/2021,198
E92000001,England,nation,22/03/2021,198
E92000001,England,nation,21/03/2021,197.9
E92000001,England,nation,20/03/2021,197.7
E92000001,England,nation,19/03/2021,197.6
E92000001,England,nation,18/03/2021,197.5
E92000001,England,nation,17/03/2021,197.4
E92000001,England,nation,16/03/2021,197.3
E92000001,England,nation,15/03/2021,197.2
E92000001,England,nation,14/03/2021,197.1
E92000001,England,nation,13/03/2021,196.9
E92000001,England,nation,12/03/2021,196.7
E92000001,England,nation,11/03/2021,196.6
E92000001,England,nation,10/03/2021,196.4
E92000001,England,nation,09/03/2021,196.2
E92000001,England,nation,08/03/2021,196
E92000001,England,nation,07/03/2021,195.8
E92000001,England,nation,06/03/2021,195.6
E92000001,England,nation,05/03/2021,195.4
E92000001,England,nation,04/03/2021,195.1
E92000001,England,nation,03/03/2021,194.9
E92000001,England,nation,02/03/2021,194.7
E92000001,England,nation,01/03/2021,194.4
E92000001,England,nation,28/02/2021,194
E92000001,England,nation,27/02/2021,193.7
E92000001,England,nation,26/02/2021,193.3
E92000001,England,nation,25/02/2021,193
E92000001,England,nation,24/02/2021,192.6
E92000001,England,nation,23/02/2021,192.2
E92000001,England,nation,22/02/2021,191.7
E92000001,England,nation,21/02/2021,191.3
E92000001,England,nation,20/02/2021,190.8
E92000001,England,nation,19/02/2021,190.3
E92000001,England,nation,18/02/2021,189.7
E92000001,England,nation,17/02/2021,189
E92000001,England,nation,16/02/2021,188.4
E92000001,England,nation,15/02/2021,187.7
E92000001,England,nation,14/02/2021,186.8
E92000001,England,nation,13/02/2021,186.1
E92000001,England,nation,12/02/2021,185.3
E92000001,England,nation,11/02/2021,184.5
E92000001,England,nation,10/02/2021,183.6
E92000001,England,nation,09/02/2021,182.6
E92000001,England,nation,08/02/2021,181.7
E92000001,England,nation,07/02/2021,180.6
E92000001,England,nation,06/02/2021,179.6
E92000001,England,nation,05/02/2021,178.5
E92000001,England,nation,04/02/2021,177.3
E92000001,England,nation,03/02/2021,176.2
E92000001,England,nation,02/02/2021,174.8
E92000001,England,nation,01/02/2021,173.4
E92000001,England,nation,31/01/2021,172
E92000001,England,nation,30/01/2021,170.6
E92000001,England,nation,29/01/2021,169.1
E92000001,England,nation,28/01/2021,167.4
E92000001,England,nation,27/01/2021,165.6
E92000001,England,nation,26/01/2021,163.8
E92000001,England,nation,25/01/2021,162.1
E92000001,England,nation,24/01/2021,160.2
E92000001,England,nation,23/01/2021,158.4
E92000001,England,nation,22/01/2021,156.5
E92000001,England,nation,21/01/2021,154.5
E92000001,England,nation,20/01/2021,152.5
E92000001,England,nation,19/01/2021,150.4
E92000001,England,nation,18/01/2021,148.2
E92000001,England,nation,17/01/2021,146.1
E92000001,England,nation,16/01/2021,144
E92000001,England,nation,15/01/2021,142
E92000001,England,nation,14/01/2021,140
E92000001,England,nation,13/01/2021,138.1
E92000001,England,nation,12/01/2021,136.1
E92000001,England,nation,11/01/2021,134.2
E92000001,England,nation,10/01/2021,132.4
E92000001,England,nation,09/01/2021,130.7
E92000001,England,nation,08/01/2021,129
E92000001,England,nation,07/01/2021,127.4
E92000001,England,nation,06/01/2021,125.9
E92000001,England,nation,05/01/2021,124.4
E92000001,England,nation,04/01/2021,122.9
E92000001,England,nation,03/01/2021,121.6
E92000001,England,nation,02/01/2021,120.4
E92000001,England,nation,01/01/2021,119.2
E92000001,England,nation,31/12/2020,118.1
E92000001,England,nation,30/12/2020,116.9
E92000001,England,nation,29/12/2020,115.8
E92000001,England,nation,28/12/2020,114.8
E92000001,England,nation,27/12/2020,113.8
E92000001,England,nation,26/12/2020,112.7
E92000001,England,nation,25/12/2020,111.7
E92000001,England,nation,24/12/2020,110.8
E92000001,England,nation,23/12/2020,109.9
E92000001,England,nation,22/12/2020,109.1
E92000001,England,nation,21/12/2020,108.2
E92000001,England,nation,20/12/2020,107.3
E92000001,England,nation,19/12/2020,106.5
E92000001,England,nation,18/12/2020,105.8
E92000001,England,nation,17/12/2020,105
E92000001,England,nation,16/12/2020,104.3
E92000001,England,nation,15/12/2020,103.6
E92000001,England,nation,14/12/2020,102.9
E92000001,England,nation,13/12/2020,102.2
E92000001,England,nation,12/12/2020,101.6
E92000001,England,nation,11/12/2020,100.9
E92000001,England,nation,10/12/2020,100.2
E92000001,England,nation,09/12/2020,99.5
E92000001,England,nation,08/12/2020,98.9
E92000001,England,nation,07/12/2020,98.2
E92000001,England,nation,06/12/2020,97.6
E92000001,England,nation,05/12/2020,96.9
E92000001,England,nation,04/12/2020,96.3
E92000001,England,nation,03/12/2020,95.6
E92000001,England,nation,02/12/2020,94.9
E92000001,England,nation,01/12/2020,94.3
E92000001,England,nation,30/11/2020,93.7
E92000001,England,nation,29/11/2020,93
E92000001,England,nation,28/11/2020,92.3
E92000001,England,nation,27/11/2020,91.6
E92000001,England,nation,26/11/2020,91
E92000001,England,nation,25/11/2020,90.3
E92000001,England,nation,24/11/2020,89.6
E92000001,England,nation,23/11/2020,88.8
E92000001,England,nation,22/11/2020,88.1
E92000001,England,nation,21/11/2020,87.4
E92000001,England,nation,20/11/2020,86.7
E92000001,England,nation,19/11/2020,86
E92000001,England,nation,18/11/2020,85.3
E92000001,England,nation,17/11/2020,84.5
E92000001,England,nation,16/11/2020,83.9
E92000001,England,nation,15/11/2020,83.2
E92000001,England,nation,14/11/2020,82.6
E92000001,England,nation,13/11/2020,81.9
E92000001,England,nation,12/11/2020,81.3
E92000001,England,nation,11/11/2020,80.7
E92000001,England,nation,10/11/2020,80.1
E92000001,England,nation,09/11/2020,79.6
E92000001,England,nation,08/11/2020,78.8
E92000001,England,nation,07/11/2020,78.2
E92000001,England,nation,06/11/2020,77.6
E92000001,England,nation,05/11/2020,77.1
E92000001,England,nation,04/11/2020,76.5
E92000001,England,nation,03/11/2020,76
E92000001,England,nation,02/11/2020,75.5
E92000001,England,nation,01/11/2020,75
E92000001,England,nation,31/10/2020,74.5
E92000001,England,nation,30/10/2020,74
E92000001,England,nation,29/10/2020,73.5
E92000001,England,nation,28/10/2020,73.1
E92000001,England,nation,27/10/2020,72.6
E92000001,England,nation,26/10/2020,72.2
E92000001,England,nation,25/10/2020,71.9
E92000001,England,nation,24/10/2020,71.5
E92000001,England,nation,23/10/2020,71.2
E92000001,England,nation,22/10/2020,70.9
E92000001,England,nation,21/10/2020,70.5
E92000001,England,nation,20/10/2020,70.2
E92000001,England,nation,19/10/2020,69.9
E92000001,England,nation,18/10/2020,69.6
E92000001,England,nation,17/10/2020,69.4
E92000001,England,nation,16/10/2020,69.1
E92000001,England,nation,15/10/2020,68.9
E92000001,England,nation,14/10/2020,68.7
E92000001,England,nation,13/10/2020,68.5
E92000001,England,nation,12/10/2020,68.3
E92000001,England,nation,11/10/2020,68.2
E92000001,England,nation,10/10/2020,68
E92000001,England,nation,09/10/2020,67.8
E92000001,England,nation,08/10/2020,67.7
E92000001,England,nation,07/10/2020,67.6
E92000001,England,nation,06/10/2020,67.4
E92000001,England,nation,05/10/2020,67.3
E92000001,England,nation,04/10/2020,67.2
E92000001,England,nation,03/10/2020,67.1
E92000001,England,nation,02/10/2020,67
E92000001,England,nation,01/10/2020,66.9
E92000001,England,nation,30/09/2020,66.8
E92000001,England,nation,29/09/2020,66.7
E92000001,England,nation,28/09/2020,66.6
E92000001,England,nation,27/09/2020,66.5
E92000001,England,nation,26/09/2020,66.5
E92000001,England,nation,25/09/2020,66.4
E92000001,England,nation,24/09/2020,66.4
E92000001,England,nation,23/09/2020,66.3
E92000001,England,nation,22/09/2020,66.2
E92000001,England,nation,21/09/2020,66.1
E92000001,England,nation,20/09/2020,66.1
E92000001,England,nation,19/09/2020,66.1
E92000001,England,nation,18/09/2020,66
E92000001,England,nation,17/09/2020,66
E92000001,England,nation,16/09/2020,65.9
E92000001,England,nation,15/09/2020,65.9
E92000001,England,nation,14/09/2020,65.9
E92000001,England,nation,13/09/2020,65.8
E92000001,England,nation,12/09/2020,65.8
E92000001,England,nation,11/09/2020,65.8
E92000001,England,nation,10/09/2020,65.8
E92000001,England,nation,09/09/2020,65.8
E92000001,England,nation,08/09/2020,65.7
E92000001,England,nation,07/09/2020,65.7
E92000001,England,nation,06/09/2020,65.7
E92000001,England,nation,05/09/2020,65.7
E92000001,England,nation,04/09/2020,65.7
E92000001,England,nation,03/09/2020,65.7
E92000001,England,nation,02/09/2020,65.6
E92000001,England,nation,01/09/2020,65.6
E92000001,England,nation,31/08/2020,65.6
E92000001,England,nation,30/08/2020,65.6
E92000001,England,nation,29/08/2020,65.6
E92000001,England,nation,28/08/2020,65.6
E92000001,England,nation,27/08/2020,65.6
E92000001,England,nation,26/08/2020,65.6
E92000001,England,nation,25/08/2020,65.5
E92000001,England,nation,24/08/2020,65.5
E92000001,England,nation,23/08/2020,65.5
E92000001,England,nation,22/08/2020,65.5
E92000001,England,nation,21/08/2020,65.5
E92000001,England,nation,20/08/2020,65.5
E92000001,England,nation,19/08/2020,65.5
E92000001,England,nation,18/08/2020,65.5
E92000001,England,nation,17/08/2020,65.4
E92000001,England,nation,16/08/2020,65.4
E92000001,England,nation,15/08/2020,65.4
E92000001,England,nation,14/08/2020,65.4
E92000001,England,nation,13/08/2020,65.4
E92000001,England,nation,12/08/2020,65.4
E92000001,England,nation,11/08/2020,65.4
E92000001,England,nation,10/08/2020,65.3
E92000001,England,nation,09/08/2020,65.3
E92000001,England,nation,08/08/2020,65.3
E92000001,England,nation,07/08/2020,65.3
E92000001,England,nation,06/08/2020,65.3
E92000001,England,nation,05/08/2020,65.3
E92000001,England,nation,04/08/2020,65.3
E92000001,England,nation,03/08/2020,65.2
E92000001,England,nation,02/08/2020,65.2
E92000001,England,nation,01/08/2020,65.2
E92000001,England,nation,31/07/2020,65.2
E92000001,England,nation,30/07/2020,65.2
E92000001,England,nation,29/07/2020,65.1
E92000001,England,nation,28/07/2020,65.1
E92000001,England,nation,27/07/2020,65.1
E92000001,England,nation,26/07/2020,65.1
E92000001,England,nation,25/07/2020,65.1
E92000001,England,nation,24/07/2020,65
E92000001,England,nation,23/07/2020,65
E92000001,England,nation,22/07/2020,65
E92000001,England,nation,21/07/2020,65
E92000001,England,nation,20/07/2020,64.9
E92000001,England,nation,19/07/2020,64.9
E92000001,England,nation,18/07/2020,64.9
E92000001,England,nation,17/07/2020,64.9
E92000001,England,nation,16/07/2020,64.8
E92000001,England,nation,15/07/2020,64.8
E92000001,England,nation,14/07/2020,64.8
E92000001,England,nation,13/07/2020,64.8
E92000001,England,nation,12/07/2020,64.7
E92000001,England,nation,11/07/2020,64.7
E92000001,England,nation,10/07/2020,64.7
E92000001,England,nation,09/07/2020,64.6
E92000001,England,nation,08/07/2020,64.6
E92000001,England,nation,07/07/2020,64.5
E92000001,England,nation,06/07/2020,64.5
E92000001,England,nation,05/07/2020,64.4
E92000001,England,nation,04/07/2020,64.4
E92000001,England,nation,03/07/2020,64.3
E92000001,England,nation,02/07/2020,64.3
E92000001,England,nation,01/07/2020,64.2
E92000001,England,nation,30/06/2020,64.2
E92000001,England,nation,29/06/2020,64.1
E92000001,England,nation,28/06/2020,64
E92000001,England,nation,27/06/2020,63.9
E92000001,England,nation,26/06/2020,63.9
E92000001,England,nation,25/06/2020,63.8
E92000001,England,nation,24/06/2020,63.7
E92000001,England,nation,23/06/2020,63.6
E92000001,England,nation,22/06/2020,63.5
E92000001,England,nation,21/06/2020,63.4
E92000001,England,nation,20/06/2020,63.3
E92000001,England,nation,19/06/2020,63.2
E92000001,England,nation,18/06/2020,63.1
E92000001,England,nation,17/06/2020,63
E92000001,England,nation,16/06/2020,62.9
E92000001,England,nation,15/06/2020,62.8
E92000001,England,nation,14/06/2020,62.7
E92000001,England,nation,13/06/2020,62.6
E92000001,England,nation,12/06/2020,62.5
E92000001,England,nation,11/06/2020,62.3
E92000001,England,nation,10/06/2020,62.2
E92000001,England,nation,09/06/2020,62
E92000001,England,nation,08/06/2020,61.9
E92000001,England,nation,07/06/2020,61.7
E92000001,England,nation,06/06/2020,61.5
E92000001,England,nation,05/06/2020,61.3
E92000001,England,nation,04/06/2020,61.1
E92000001,England,nation,03/06/2020,60.9
E92000001,England,nation,02/06/2020,60.7
E92000001,England,nation,01/06/2020,60.4
E92000001,England,nation,31/05/2020,60.2
E92000001,England,nation,30/05/2020,60
E92000001,England,nation,29/05/2020,59.7
E92000001,England,nation,28/05/2020,59.4
E92000001,England,nation,27/05/2020,59.1
E92000001,England,nation,26/05/2020,58.8
E92000001,England,nation,25/05/2020,58.5
E92000001,England,nation,24/05/2020,58.1
E92000001,England,nation,23/05/2020,57.8
E92000001,England,nation,22/05/2020,57.5
E92000001,England,nation,21/05/2020,57.1
E92000001,England,nation,20/05/2020,56.8
E92000001,England,nation,19/05/2020,56.4
E92000001,England,nation,18/05/2020,56
E92000001,England,nation,17/05/2020,55.5
E92000001,England,nation,16/05/2020,55.1
E92000001,England,nation,15/05/2020,54.6
E92000001,England,nation,14/05/2020,54.2
E92000001,England,nation,13/05/2020,53.7
E92000001,England,nation,12/05/2020,53.2
E92000001,England,nation,11/05/2020,52.7
E92000001,England,nation,10/05/2020,52.3
E92000001,England,nation,09/05/2020,51.7
E92000001,England,nation,08/05/2020,51.1
E92000001,England,nation,07/05/2020,50.6
E92000001,England,nation,06/05/2020,49.8
E92000001,England,nation,05/05/2020,49.2
E92000001,England,nation,04/05/2020,48.5
E92000001,England,nation,03/05/2020,47.7
E92000001,England,nation,02/05/2020,47
E92000001,England,nation,01/05/2020,46.3
E92000001,England,nation,30/04/2020,45.4
E92000001,England,nation,29/04/2020,44.6
E92000001,England,nation,28/04/2020,43.7
E92000001,England,nation,27/04/2020,42.8
E92000001,England,nation,26/04/2020,41.9
E92000001,England,nation,25/04/2020,40.9
E92000001,England,nation,24/04/2020,39.9
E92000001,England,nation,23/04/2020,38.9
